Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
31Gp3aTAc77obqL5nV9UbkD4ASsHpmS5GAEtuRq2CA2KHTrWE7aHjsqFYf3mimYpM31nhJshW9LzhKdUtffGFH9L,1757397311,2025-09-09T05:55:11.000Z,TOKEN MERGE STAKE,ByHNQrMjK9e7YyukB6XMtFQvADEpdvuTHzxAdbJQVn2p,CNHo1yrkV2BFNjik5r3CGQHL7Exq14Y6KwcjZbuHQ6v4,152218282882,in,32701.47,9,SOL,1.0
22emBBcoXKVUagGMPMi8bk81eMhRrenaSo3zAn4cQBboX4iANpCASMDELyb318NAFcpr3tnQ8opx4YEi1bq1j7vX,1757396835,2025-09-09T05:47:15.000Z,TOKEN MERGE STAKE,CzwCnodPgSR1FYxhfCY9huenXWEZn7UbhsGmRaDKXFfU,CNHo1yrkV2BFNjik5r3CGQHL7Exq14Y6KwcjZbuHQ6v4,63944402282889,in,13728676.89,9,SOL,1.0
54TNX6MryhEF7UhM6dJGPmtVmgAeJ4RqJnA1tn53bk7TRn71wy1AErFFVL1aMG1hJtsLo5hWBPdx1qaYR8CrxHRQ,1757396694,2025-09-09T05:44:54.000Z,TRANSFER,7Yrq21uJDHqANCugtoqnBvYW1Zz9pt7VxdniREyoMPgd,CNHo1yrkV2BFNjik5r3CGQHL7Exq14Y6KwcjZbuHQ6v4,20000000000000,in,18098114.55,6,CXkcNZBF1urkFVrdp62EVosMQsdewGQFmZZQkC9aPjtS,1.0
5vhjy9RKnJhBw3Fa4xWGePU4U34uZnT5Xf2FjSRNWdFLELJ13P43ZhJJB8tvdYa2akkfequP2Krz9vkh6SkuZrFY,1757396418,2025-09-09T05:40:18.000Z,TOKEN MERGE STAKE,4AgBcG2uQ9vz8gwKeLb9kLZPf6HYXwgiMUDk1ccSrd5i,CNHo1yrkV2BFNjik5r3CGQHL7Exq14Y6KwcjZbuHQ6v4,4406372282882,in,944779.86,9,SOL,1.0
4TbhRaPQnTbJxSWKKG6Sd8yCicx2xvP6nBLKJRS6dC2144FznWdygrh1r3rE1Hj2iCzNeqFTwwN5vfNyoWETf5Ga,1757396411,2025-09-09T05:40:11.000Z,TOKEN MERGE STAKE,AvLKMpqXGCyjyKfbULP1PEEFap2s6hmQxyNyvfEmAd9w,CNHo1yrkV2BFNjik5r3CGQHL7Exq14Y6KwcjZbuHQ6v4,6609002282882,in,1417050.55,9,SOL,1.0
3ABbp8hN2wdXZZfzk9FGmXKPu6jcXoYV7PkvjbSV4HCUa4udz15ccwSPfaiHiFeh62toGLzPF2tG5FJwKgQ5SGCh,1757396023,2025-09-09T05:33:43.000Z,TOKEN MERGE STAKE,7Dc2LoKK5kYCoNvfTfcipBmQ336SssdWQypwhhiuvKku,CNHo1yrkV2BFNjik5r3CGQHL7Exq14Y6KwcjZbuHQ6v4,26438812282887,in,5671371.62,9,SOL,1.0
MTynWi9Phu3LkxWHa5kFgaVLDKFr8ph1dyZAaFFLT6NcRRsGdktve3dz9B9QDxsCxjUDCXCdBVRZKqnZet3YVgh,1757395720,2025-09-09T05:28:40.000Z,TOKEN MERGE STAKE,35onSmaZgZYDdGKDhvYXgSXddGyUHoFXKgAQjBmJkJen,CNHo1yrkV2BFNjik5r3CGQHL7Exq14Y6KwcjZbuHQ6v4,853357712282889,in,182789870.42,9,SOL,1.0
4jqrjfgq8xXVrgcGPMmnPuJU22f5ruVYpsXty1N62bLBJL9XETwJigAnv2mvVxZ8uQGc9LLZXCE24YFu2YMPTgQf,1757395570,2025-09-09T05:26:10.000Z,TOKEN MERGE STAKE,2BmUvqFZJSfumqQG2LBTYEcapSQf4ePwSfrzdbX2Uf7g,CNHo1yrkV2BFNjik5r3CGQHL7Exq14Y6KwcjZbuHQ6v4,7195752282891,in,1543846.74,9,SOL,1.0
5XEzsXDccBXJezkduUvVm3RWWWeG4HCSoYnqeE27GdSntLZ746EcHpFSRd5txwB1sZ73CAHHWyu3PAX64XycDT6k,1757395561,2025-09-09T05:26:01.000Z,TOKEN MERGE STAKE,AmA41B39qcSErTHUuqnfaui9tbmk4qRbjxh69QxwpadE,CNHo1yrkV2BFNjik5r3CGQHL7Exq14Y6KwcjZbuHQ6v4,43726852282891,in,9381584.56,9,SOL,1.0
3LuijGJ3TqeuaL8jVUPuY2QzVNGs8cBbhreCTWq4aEXwizAUZ2QGYkLDgBmfBreR7cLQjWt3riwFaAtKJso19RMY,1757395551,2025-09-09T05:25:51.000Z,TOKEN MERGE STAKE,8Zi4kYs5Je5e3LZXAVPvFzSTxbzxyqP5mJeDAoyPTjUF,CNHo1yrkV2BFNjik5r3CGQHL7Exq14Y6KwcjZbuHQ6v4,43470162282890,in,9326511.79,9,SOL,1.0
5SRDyMRmANUJXWoFyUUj9BfQqEUXaZf4ukoR7BAEP31wB8Px5xhNvdDHb4EddgA4oM5P5a7m4zGWZVU7mrjQh8ps,1757395540,2025-09-09T05:25:40.000Z,TOKEN MERGE STAKE,4TqDr3tiChZqkz7PeJCDLsHPFkseNqc1bTSEHRVLXV74,CNHo1yrkV2BFNjik5r3CGQHL7Exq14Y6KwcjZbuHQ6v4,494108402282890,in,106010826.72,9,SOL,1.0
3AziRiVugzSwErV7oNEP2dwKPioWbmTzaQohwK3PJc3aziuJry4yUJfFbPnoJcRmFi7Az3GvggwHTqgQiswzKaQE,1757032902,2025-09-05T00:41:42.000Z,TOKEN IT STAKE,9662hQ3b15rmF4urbih2MDnBtDnwnDzRw8Ct8TTcdkHo,CNHo1yrkV2BFNjik5r3CGQHL7Exq14Y6KwcjZbuHQ6v4,9990100000000,in,2022256.94,9,SOL,1.0
3AziRiVugzSwErV7oNEP2dwKPioWbmTzaQohwK3PJc3aziuJry4yUJfFbPnoJcRmFi7Az3GvggwHTqgQiswzKaQE,1757032902,2025-09-05T00:41:42.000Z,TRANSFER,88YteyZwmyAiV52D1ZnoymjwKt3NKHm3daW1oef7RyWM,CNHo1yrkV2BFNjik5r3CGQHL7Exq14Y6KwcjZbuHQ6v4,2282880,in,0.4621,9,SOL,1.0
